LOCATION,FREQUENCY,TIME,Value
USA,M,Dec-99,4.0
USA,M,Jan-00,4.0
USA,M,Feb-00,4.1
USA,M,Mar-00,4.0
USA,M,Apr-00,3.8
USA,M,May-00,4.0
USA,M,Jun-00,4.0
USA,M,Jul-00,4.0
USA,M,Aug-00,4.1
USA,M,Sep-00,3.9
USA,M,Oct-00,3.9
USA,M,Nov-00,3.9
USA,M,Dec-00,3.9
USA,M,01-Jan,4.2
USA,M,01-Feb,4.2
USA,M,01-Mar,4.3
USA,M,01-Apr,4.4
USA,M,01-May,4.3
USA,M,01-Jun,4.5
USA,M,01-Jul,4.6
USA,M,01-Aug,4.9
USA,M,01-Sep,5.0
USA,M,01-Oct,5.3
USA,M,01-Nov,5.5
USA,M,01-Dec,5.7
USA,M,02-Jan,5.7
USA,M,02-Feb,5.7
USA,M,02-Mar,5.7
USA,M,02-Apr,5.9
USA,M,02-May,5.8
USA,M,02-Jun,5.8
USA,M,02-Jul,5.8
USA,M,02-Aug,5.7
USA,M,02-Sep,5.7
USA,M,02-Oct,5.7
USA,M,02-Nov,5.9
USA,M,02-Dec,6.0
USA,M,03-Jan,5.8
USA,M,03-Feb,5.9
USA,M,03-Mar,5.9
USA,M,03-Apr,6.0
USA,M,03-May,6.1
USA,M,03-Jun,6.3
USA,M,03-Jul,6.2
USA,M,03-Aug,6.1
USA,M,03-Sep,6.1
USA,M,03-Oct,6.0
USA,M,03-Nov,5.8
USA,M,03-Dec,5.7
USA,M,04-Jan,5.7
USA,M,04-Feb,5.6
USA,M,04-Mar,5.8
USA,M,04-Apr,5.6
USA,M,04-May,5.6
USA,M,04-Jun,5.6
USA,M,04-Jul,5.5
USA,M,04-Aug,5.4
USA,M,04-Sep,5.4
USA,M,04-Oct,5.5
USA,M,04-Nov,5.4
USA,M,04-Dec,5.4
USA,M,05-Jan,5.3
USA,M,05-Feb,5.4
USA,M,05-Mar,5.2
USA,M,05-Apr,5.2
USA,M,05-May,5.1
USA,M,05-Jun,5.0
USA,M,05-Jul,5.0
USA,M,05-Aug,4.9
USA,M,05-Sep,5.0
USA,M,05-Oct,5.0
USA,M,05-Nov,5.0
USA,M,05-Dec,4.9
USA,M,06-Jan,4.7
USA,M,06-Feb,4.8
USA,M,06-Mar,4.7
USA,M,06-Apr,4.7
USA,M,06-May,4.6
USA,M,06-Jun,4.6
USA,M,06-Jul,4.7
USA,M,06-Aug,4.7
USA,M,06-Sep,4.5
USA,M,06-Oct,4.4
USA,M,06-Nov,4.5
USA,M,06-Dec,4.4
USA,M,07-Jan,4.6
USA,M,07-Feb,4.5
USA,M,07-Mar,4.4
USA,M,07-Apr,4.5
USA,M,07-May,4.4
USA,M,07-Jun,4.6
USA,M,07-Jul,4.7
USA,M,07-Aug,4.6
USA,M,07-Sep,4.7
USA,M,07-Oct,4.7
USA,M,07-Nov,4.7
USA,M,07-Dec,5.0
USA,M,08-Jan,5.0
USA,M,08-Feb,4.9
USA,M,08-Mar,5.1
USA,M,08-Apr,5.0
USA,M,08-May,5.4
USA,M,08-Jun,5.6
USA,M,08-Jul,5.8
USA,M,08-Aug,6.1
USA,M,08-Sep,6.1
USA,M,08-Oct,6.5
USA,M,08-Nov,6.8
USA,M,08-Dec,7.3
USA,M,09-Jan,7.8
USA,M,09-Feb,8.3
USA,M,09-Mar,8.7
USA,M,09-Apr,9.0
USA,M,09-May,9.4
USA,M,09-Jun,9.5
USA,M,09-Jul,9.5
USA,M,09-Aug,9.6
USA,M,09-Sep,9.8
USA,M,09-Oct,10.0
USA,M,09-Nov,9.9
USA,M,09-Dec,9.9
USA,M,10-Jan,9.8
USA,M,10-Feb,9.8
USA,M,10-Mar,9.9
USA,M,10-Apr,9.9
USA,M,10-May,9.6
USA,M,10-Jun,9.4
USA,M,10-Jul,9.4
USA,M,10-Aug,9.5
USA,M,10-Sep,9.5
USA,M,10-Oct,9.4
USA,M,10-Nov,9.8
USA,M,10-Dec,9.3
USA,M,11-Jan,9.1
USA,M,11-Feb,9.0
USA,M,11-Mar,9.0
USA,M,11-Apr,9.1
USA,M,11-May,9.0
USA,M,11-Jun,9.1
USA,M,11-Jul,9.0
USA,M,11-Aug,9.0
USA,M,11-Sep,9.0
USA,M,11-Oct,8.8
USA,M,11-Nov,8.6
USA,M,11-Dec,8.5
USA,M,12-Jan,8.3
USA,M,12-Feb,8.3
USA,M,12-Mar,8.2
USA,M,12-Apr,8.2
USA,M,12-May,8.2
USA,M,12-Jun,8.2
USA,M,12-Jul,8.2
USA,M,12-Aug,8.1
USA,M,12-Sep,7.8
USA,M,12-Oct,7.8
USA,M,12-Nov,7.7
USA,M,12-Dec,7.9
USA,M,13-Jan,8.0
USA,M,13-Feb,7.7
USA,M,13-Mar,7.5
USA,M,13-Apr,7.6
USA,M,13-May,7.5
USA,M,13-Jun,7.5
USA,M,13-Jul,7.3
USA,M,13-Aug,7.2
USA,M,13-Sep,7.2
USA,M,13-Oct,7.2
USA,M,13-Nov,6.9
USA,M,13-Dec,6.7
USA,M,14-Jan,6.6
USA,M,14-Feb,6.7
USA,M,14-Mar,6.7
USA,M,14-Apr,6.2
USA,M,14-May,6.3
USA,M,14-Jun,6.1
USA,M,14-Jul,6.2
USA,M,14-Aug,6.1
USA,M,14-Sep,5.9
USA,M,14-Oct,5.7
USA,M,14-Nov,5.8
USA,M,14-Dec,5.6
USA,M,15-Jan,5.7
USA,M,15-Feb,5.5
USA,M,15-Mar,5.4
USA,M,15-Apr,5.4
USA,M,15-May,5.6
USA,M,15-Jun,5.3
USA,M,15-Jul,5.2
USA,M,15-Aug,5.1
USA,M,15-Sep,5.0
USA,M,15-Oct,5.0
USA,M,15-Nov,5.1
USA,M,15-Dec,5.0
USA,M,16-Jan,4.8
USA,M,16-Feb,4.9
USA,M,16-Mar,5.0
USA,M,16-Apr,5.1
USA,M,16-May,4.8
USA,M,16-Jun,4.9
USA,M,16-Jul,4.8
USA,M,16-Aug,4.9
USA,M,16-Sep,5.0
USA,M,16-Oct,4.9
USA,M,16-Nov,4.7
USA,M,16-Dec,4.7
USA,M,17-Jan,4.7
USA,M,17-Feb,4.6
USA,M,17-Mar,4.4
USA,M,17-Apr,4.4
USA,M,17-May,4.4
USA,M,17-Jun,4.3
USA,M,17-Jul,4.3
USA,M,17-Aug,4.4
USA,M,17-Sep,4.3
USA,M,17-Oct,4.2
USA,M,17-Nov,4.2
USA,M,17-Dec,4.1
USA,M,18-Jan,4.0
USA,M,18-Feb,4.1
USA,M,18-Mar,4.0
USA,M,18-Apr,4.0
USA,M,18-May,3.8
USA,M,18-Jun,4.0
USA,M,18-Jul,3.8
USA,M,18-Aug,3.8
USA,M,18-Sep,3.7
USA,M,18-Oct,3.8
USA,M,18-Nov,3.8
USA,M,18-Dec,3.9
USA,M,19-Jan,4.0
USA,M,19-Feb,3.8
USA,M,19-Mar,3.8
USA,M,19-Apr,3.6
USA,M,19-May,3.7
USA,M,19-Jun,3.6
USA,M,19-Jul,3.7
USA,M,19-Aug,3.7
USA,M,19-Sep,3.5
USA,M,19-Oct,3.6
USA,M,19-Nov,3.6
USA,M,19-Dec,3.6
USA,M,20-Jan,3.5
USA,M,20-Feb,3.5
USA,M,20-Mar,4.4
USA,M,20-Apr,14.7
USA,M,20-May,13.2
USA,M,20-Jun,11.0
USA,M,20-Jul,10.2
USA,M,20-Aug,8.4
USA,M,20-Sep,7.9
USA,M,20-Oct,6.9
USA,M,20-Nov,6.7
USA,M,20-Dec,6.7
USA,M,21-Jan,6.3
USA,M,21-Feb,6.2
USA,M,21-Mar,6.1
USA,M,21-Apr,6.1
USA,M,21-May,5.8
USA,M,21-Jun,5.9
USA,M,21-Jul,5.4
USA,M,21-Aug,5.2
USA,M,21-Sep,4.8
USA,M,21-Oct,4.5
USA,M,21-Nov,4.2
USA,M,21-Dec,3.9
USA,M,22-Jan,4.0
USA,M,22-Feb,3.8
USA,M,22-Mar,3.6
USA,M,22-Apr,3.6
USA,M,22-May,3.6
USA,M,22-Jun,3.6
USA,M,22-Jul,3.5
USA,M,22-Aug,3.7
USA,M,22-Sep,3.5
USA,M,22-Oct,3.7
USA,M,22-Nov,3.6
USA,M,22-Dec,3.5
USA,M,23-Jan,3.4
USA,M,23-Feb,3.6
USA,M,23-Mar,3.5
USA,M,23-Apr,3.4
